"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"92","Koper",65.9,13.4625,4.2,2.775,0.8,7.5,5.2375,1.9,0.1875,1.5,1011.8,1010.3375,1009.8,78.7,72.9625,64,1.8,0.9875,0.4,15.2,13.875,12.4,108.75,"4",105.3
"356","Koper",0,0,1.7,0.9,0.3,2.6,1.85,0.8,0,0,1022.3,1021.8375,1021.5,95.4,94.625,94,-0.1,-0.3875,-0.8,9.7,9.5625,9.4,6.2,"1",30.2666666666667
"2393","Ljubljana",232,37.25,0.6,0.2125,0,1.7,1.225,0.6,0,0,983.1,981.95,981,92.2,89.225,84.1,0.2,-1.6875,-2.5,4,2.2375,1.1,72.5,"10",53.5833333333333
"1365","Ljubljana",439,96.75,2.3,1.025,0.3,4.9,2.525,1.3,0.025,0.2,977.7,977.2625,976.7,96.2,90.9,75.4,6.4,6.2125,5.9,18.3,15.3875,14.3,101.3,"5",99.4833333333333
"2069","Ljubljana",518,133.5,0.7,0.2625,0,2.3,1.1625,0,0,0,986.5,986,985.4,80.5,70.475,58.4,13.6,10.475,9.6,21.9,18.25,16.2,133.2,"6",125.783333333333
"47","Koper",60,7.5,2.3,1.8,1,3.6,2.8625,2,0,0,1018.4,1017.4125,1016.8,73.1,69.7375,64.9,-9.9,-10.4875,-11,2.7,0.6875,-0.3,95.15,"2",88.4
"267","Koper",107,16,2.3,1.925,1.3,3.7,3.2625,2.8,0.075,0.6,1021.6,1020.85,1020.4,91.1,89.475,86.2,2.9,2.0375,1.6,13.7,11.675,10.8,89.9,"10",88.0833333333333
"2477","Ljubljana",4,0.5,1.7,1.0375,0.5,4.9,2.8375,0.9,0,0,1002.4,1001.275,1000.6,85.8,78.65,70.6,-5.5,-5.9875,-6.5,1.5,0.225,-0.9,67.35,"12",49.3833333333333
"1095","Koper",464,95.75,4.6,3.0875,1.5,8.2,5.325,2.6,0,0.2,1009.1,1008.45,1007.8,71.9,65.325,56.4,14.6,13.9375,13.5,30,27.6375,26.5,128.35,"7",144.266666666667
"1087","Koper",509,109.25,2.5,1.8125,0.9,3.6,2.9125,2.2,0,0,1017.1,1016.3125,1015.8,66.7,59.2375,44.2,14.6,12.575,11.3,26.4,21.3625,18.8,130.8,"7",114.066666666667
"2292","Ljubljana",419,103,1.3,0.65,0.3,2.7,1.6875,0.8,0,0,986.2,985.3625,984.9,88.9,82.2,67.7,15.4,14.725,14.4,24.9,22.1875,20.7,87.25,"6",88.65
"574","Koper",35,6.25,3.3,2.7125,2.2,8.3,7.1875,5.6,0.0625,1.3,1010.6,1009.525,1009.2,57.7,46.725,42.8,9.3,8.0875,6.2,21,20.5,19.1,66.05,"9",108.883333333333
"617","Koper",2.9,0.725,2.8,1.925,0.8,7,4.3375,2.3,3.9375,17.3,1010.4,1009.025,1007.8,96.5,94.4125,92.1,8.4,8.025,7.6,17.5,16.875,15.8,81.05,"10",91.3333333333333
"2158","Ljubljana",5,0.625,2.7,1.375,0.4,8.1,3.6,1.2,0,0,989.6,989.3,989.1,86,80.425,71.4,9.2,5.85,2.5,12.1,8.6625,6.2,67.95,"2",46.05
"2301","Ljubljana",45.9,9.7,2,1.0625,0.6,6,2.8875,1.8,4.25,34,982.9,980.9125,979.3,93.9,85.475,72.9,13,11.325,10.2,21.3,19.8,19,60.85,"7",118.866666666667
"2436","Ljubljana",6,0.75,2,1.0875,0.2,5,2.975,1.4,0.025,1.5,983.7,982.2625,981.5,85.3,78.3,71.5,1.9,0.6875,-0.3,11.1,10.2625,9.7,72.5,"11",68.2833333333333
"2085","Ljubljana",376,76.375,1.6,0.8375,0.1,4.4,3,2.2,0.25,1.3,985.5,984.5,983.4,100,96.9375,84.9,4.7,3.1625,2.6,13.4,11.6625,11.1,84.35,"6",97.55
"2376","Ljubljana",59,11.375,1.4,0.725,0.1,2.8,1.9125,0.6,0,0,975.2,974.7625,974.5,92.5,91.7,90.3,7.6,7.2125,7,15.1,14.45,14.1,57.45,"9",74.1833333333333
